,COD GRANEL,Minimo,Maximo,Código producto,NumeroPeriodosToma,ATC
0,0.8505780915714374,0.0001004,6.693333333333334e-05,0.3793897071385108,0.5,N
1,0.8505780915714374,0.026000000000000002,0.017333333333333336,0.3793897071385108,0.5,N
2,0.8505780915714374,0.0026000000000000003,0.0017333333333333335,0.3793897071385108,0.5,N
3,0.18517146640428583,0.004,0.0029090909090909093,0.33156049469923965,0.5,J
4,0.18517146640428583,0.004,0.0030303030303030303,0.33156049469923965,0.5,J
5,0.18517144492020232,0.004,0.0029090909090909093,0.33156385386294224,0.5,J
6,0.18517144492020232,0.004,0.0030303030303030303,0.33156385386294224,0.5,J
7,0.18517146640428583,0.004,0.0029090909090909093,0.33156049469923965,0.5,J
8,0.18517146640428583,0.004,0.0030303030303030303,0.33156049469923965,0.5,J
9,0.18517148788836937,0.004,0.0029090909090909093,0.3315753709956369,0.5,J
10,0.18517148788836937,0.004,0.0030303030303030303,0.3315753709956369,0.5,J
11,0.1845532619004743,0.012,0.008,0.033164063474757324,0.375,A
12,0.18455145723745708,0.00528,0.0031830303030303034,0.024307868313104764,0.5,H
13,0.18455145723745708,0.0031111111111111114,0.0,0.024307868313104764,0.5,H
14,0.18447029036984977,0.0033333333333333335,0.0,0.03300234373650336,0.625,N
15,0.18447029036984977,0.001,0.0006666666666666668,0.03300234373650336,0.625,N
16,0.18447029036984977,0.004,0.002666666666666667,0.03300234373650336,0.625,N
17,0.18447029036984977,0.0,4.848484848484849e-06,0.03300234373650336,0.625,N
18,0.18447029036984977,0.0,4.848484848484849e-06,0.03300234373650336,0.625,N
19,0.18447029036984977,0.0,4.848484848484849e-06,0.03300234373650336,0.625,N
20,0.18447029036984977,0.0,4.848484848484849e-06,0.03300234373650336,0.625,N
21,0.18447029036984977,0.0,1.2121212121212122e-05,0.03300234373650336,0.625,N
22,0.0016040876132957758,0.004,0.002666666666666667,0.00039158251161790746,0.5,N
23,0.0016040876132957758,4e-05,2.666666666666667e-05,0.00039158251161790746,0.5,N
24,0.0016040876132957758,0.0033333333333333335,0.0,0.00039158251161790746,0.5,N
25,0.0016040876132957758,0.0031111111111111114,0.0,0.00039158251161790746,0.5,N
26,0.9858415807507424,0.0,4.848484848484849e-05,0.33629739540044107,0.625,M
27,0.9858415807507424,0.0031111111111111114,0.0,0.33629739540044107,0.625,M
28,0.9858415807507424,0.008444444444444445,0.005333333333333334,0.33629739540044107,0.625,M
29,0.9858415807507424,0.004222222222222223,0.002666666666666667,0.33629739540044107,0.625,M
30,0.0012066320678391744,0.0004,0.0002666666666666667,0.009587053207233527,0.625,N
31,0.0012066320678391744,0.004,0.002666666666666667,0.009587053207233527,0.625,N
32,0.0012066320678391744,0.0035555555555555557,0.0,0.009587053207233527,0.625,N
33,0.9858601429989193,8e-05,5.333333333333334e-05,0.030692198870169277,0.625,A
34,0.9858601429989193,0.004,0.002666666666666667,0.030692198870169277,0.625,A
35,0.9858601429989193,0.0035555555555555557,0.0,0.030692198870169277,0.625,A
36,0.18480241281726673,0.00012000000000000002,8e-05,0.003792015939711649,0.375,A
37,0.18462935852436657,0.004,0.002666666666666667,0.02427811572031027,0.625,C
38,0.18462935852436657,0.004,0.002666666666666667,0.02427811572031027,0.625,C
39,0.18462935852436657,0.0031111111111111114,0.0,0.02427811572031027,0.625,C
40,0.18450161416364846,0.0008,0.0005333333333333334,0.032392895464745095,0.625,C
41,0.18450161416364846,0.004,0.002666666666666667,0.032392895464745095,0.625,C
42,0.18450161416364846,0.0004,0.0002666666666666667,0.032392895464745095,0.625,C
43,0.18450161416364846,0.004,0.002666666666666667,0.032392895464745095,0.625,C
44,0.18450161416364846,0.0033333333333333335,0.0,0.032392895464745095,0.625,C
45,0.18450161416364846,0.0033333333333333335,0.0,0.032392895464745095,0.625,C
